Timor-Leste,738,844,884,995,1094,1196,1293
Vietnam,67989,74910,79910,83833,87968,92677,96462
Anguilla,9,10,11,12,13,14,15
Antigua and Barbuda,63,69,76,81,88,94,97
Aruba,62,80,91,100,102,104,106
Bahamas,256,280,298,325,355,374,389
Barbados,261,266,272,276,282,285,287
British Virgin Islands,17,19,20,23,28,29,30
Bonaire Sint Eustatius and Saba,13,15,14,14,21,25,26
Cayman Islands,25,32,42,49,57,62,65
Cuba,10597,10888,11126,11262,11226,11325,11333
Curaçao,147,144,132,130,149,160,163
Dominica,70,71,70,71,71,71,72
Dominican Republic,7133,7819,8471,9097,9695,10282,10739
Grenada,96,100,103,105,106,110,112
Guadeloupe,426,437,458,446,453,446,448
Haiti,7038,7745,8464,9195,9949,10696,11263
Jamaica,2420,2534,2655,2740,2810,2891,2948
Martinique,358,369,387,397,395,378,376
Montserrat,11,10,5,5,5,5,5
Puerto Rico,3403,3568,3669,3632,3580,3382,2933
Saint Kitts and Nevis,40,42,44,47,49,51,53
Saint Lucia,138,147,157,163,174,179,183
Saint Vincent and the Grenadines,107,108,108,109,108,109,111
Sint Maarten (Dutch part),29,31,33,33,34,40,42
Trinidad and Tobago,1221,1254,1267,1297,1328,1370,1395
Turks and Caicos Islands,12,16,20,28,33,36,38
United States Virgin Islands,104,107,109,108,106,105,105
Belize,188,207,247,284,322,361,390
Costa Rica,3119,3546,3962,4286,4577,4848,5048
El Salvador,5270,5629,5888,6052,6184,6325,6454
Guatemala,9264,10408,11651,13096,14630,16252,17581
Honduras,4955,5709,6575,7459,8317,9113,9746
Mexico,83943,91663,98900,106005,114093,121858,127576
Nicaragua,4173,4652,5069,5439,5824,6223,6546
Panama,2471,2740,3030,3330,3643,3968,4246
Argentina,32619,34828,36871,38893,40896,43075,44781
Bolivia,6865,7622,8418,9232,10049,10870,11513
Brazil,149003,162020,174790,186127,195714,204472,211050
Chile,13275,14381,15342,16183,17063,17969,18952
Colombia,33103,36421,39630,42648,45223,47521,50339
Ecuador,10231,11455,12681,13826,15011,16212,17374
Falkland Islands,2,2,3,3,3,3,3
French Guiana,116,137,163,203,233,261,291
Guyana,743,761,747,746,749,767,783
Paraguay,4223,4777,5323,5824,6248,6689,7045
Peru,22071,24299,26460,27866,29028,30471,32510
Suriname,405,442,471,499,529,559,581
Uruguay,3110,3224,3320,3322,3359,3412,3462
Venezuela,19633,21931,24192,26432,28440,30082,28516
Australia,16961,17993,18991,20179,22155,23933,25203
New Zealand,3398,3675,3859,4135,4370,4615,4783
Fiji,729,775,811,822,860,869,890
New Caledonia,170,193,217,236,254,271,283
Papua New Guinea,4616,5187,5848,6495,7311,8108,8776
Solomon Islands,312,359,413,470,528,603,670
Vanuatu,147,168,185,209,236,271,300
Guam,130,146,155,158,159,162,167
Kiribati,72,78,84,92,103,111,118
Marshall Islands,47,50,51,55,56,57,59
Micronesia (Fed. States of),96,108,107,106,103,109,114
Nauru,10,11,10,10,10,10,11
Northern Mariana Islands,46,46,57,57,54,56,57
Palau,15,17,19,20,18,18,18
American Samoa,47,53,58,60,56,56,55
Cook Islands,18,19,18,19,18,18,18
French Polynesia,200,218,241,259,266,273,279
Niue,2,2,2,2,2,2,2
Samoa,163,170,174,180,186,194,197
Tokelau,2,2,2,1,1,1,1
Tonga,95,96,98,101,104,101,104
Tuvalu,9,9,9,10,11,11,12
Wallis and Futuna Islands,14,14,15,15,13,12,11
Belarus,10151,10078,9872,9562,9421,9439,9452
Bulgaria,8841,8379,7998,7687,7425,7200,7000
Czechia,10341,10358,10289,10258,10537,10601,10689
Hungary,10377,10349,10221,10086,9927,9778,9685
Poland,37960,38459,38557,38369,38330,38034,37888
Republic of Moldova,4366,4341,4203,4159,4086,4071,4043
Romania,23489,22965,22137,21417,20472,19925,19365
Russia,147532,148227,146405,143672,143479,144985,145872
Slovakia,5288,5375,5399,5399,5404,5436,5457
Ukraine,51463,50904,48838,46891,45792,44922,43994
Channel Islands,141,143,148,152,160,165,172
Denmark,5141,5233,5341,5422,5555,5689,5772
Estonia,1565,1433,1399,1356,1332,1315,1326
Faroe Islands,47,46,47,48,48,48,49
Finland,4996,5119,5188,5259,5366,5481,5532
Iceland,255,268,280,295,320,330,339
Ireland,3511,3592,3783,4141,4554,4652,4882
Isle of Man,70,72,77,80,85,83,85
Latvia,2664,2508,2384,2252,2119,1998,1907
Lithuania,3696,3627,3502,3344,3124,2932,2760
Norway,4247,4367,4499,4632,4886,5200,5379
Sweden,8567,8836,8882,9039,9390,9765,10036
United Kingdom,57134,57932,58923,60288,63460,65860,67530
Albania,3286,3113,3129,3087,2948,2891,2881
Andorra,55,64,65,79,84,78,77
Bosnia and Herzegovina,4463,3829,3751,3765,3705,3429,3301
Croatia,4776,4617,4428,4378,4328,4233,4130
Gibraltar,29,29,31,33,34,34,34
Greece,10226,10746,11082,11225,10888,10660,10473
Holy See,1,1,1,1,1,1,1
Italy,57048,57174,56692,58281,59325,60578,60550
Malta,362,377,394,405,414,434,440
Montenegro,615,620,614,616,624,627,628
North Macedonia,1996,1983,2035,2060,2071,2079,2083
Portugal,9895,10091,10297,10508,10596,10368,10226
San Marino,24,26,27,29,31,33,34
Serbia,9518,9884,9488,9194,8991,8877,8772
Slovenia,2006,1991,1988,1995,2043,2071,2079
Spain,39203,39787,40825,44019,46931,46672,46737
Austria,7724,7990,8069,8254,8410,8679,8955
Belgium,10007,10186,10282,10547,10939,11288,11539
France,56667,57802,59015,61120,62880,64453,65130
Germany,79054,81139,81401,81603,80827,81787,83517
Liechtenstein,29,31,33,35,36,37,38
Luxembourg,382,408,436,458,508,567,616
Monaco,29,31,32,34,36,38,39
Netherlands,14965,15468,15926,16367,16683,16938,17097
Switzerland,6653,6996,7144,7387,7809,8297,8591
Bermuda,62,63,65,66,65,64,63
Canada,27541,29164,30588,32164,34148,36027,37411
Greenland,56,56,56,57,57,56,57
Saint Pierre and Miquelon,6,6,6,6,6,6,6
United States of America,252120,265164,281711,294994,309011,320878,329065
